country,infectious_number
Bolivia,1029
Belarus,1033
Kenya,1068
Lebanon,1104
Fiji,1301
Ireland,1361
Chile,1371
Ukraine,1396
Algeria,1537
Honduras,1592
Costa Rica,1695
South Korea,1707
Israel,1823
Belgium,1862
Zimbabwe,2089
Nepal,2335
Greece,2694
Georgia,2796
Guatemala,3336
Pakistan,4537
Netherlands,4543
Philippines,5620
Italy,6167
Kazakhstan,7778
Morocco,8995
Colombia,9690
Japan,10684
Argentina,14115
Thailand,17669
Mexico,19223
Turkey,22161
Russia,22720
France,25429
Spain,26689
South Africa,30928
Iran,34433
Brazil,42283
United States,78170
